,fpr,tpr,thresholds
0,0.0,0.0,inf
1,0.0,0.0009689922480620155,70.0
2,0.0,0.014534883720930232,68.0
3,0.0,0.022286821705426358,67.0
4,0.0,0.031007751937984496,66.0
5,0.0,0.05135658914728682,65.0
6,0.0,0.0755813953488372,64.0
7,0.0,0.1065891472868217,63.0
8,0.0,0.1434108527131783,62.0
9,0.0,0.17635658914728683,61.0
10,0.0,0.21414728682170542,60.0
11,0.0,0.24612403100775193,59.0
12,0.0,0.31976744186046513,57.0
13,0.0,0.375968992248062,56.0
14,0.0,0.4563953488372093,55.0
15,0.0,0.5290697674418605,54.0
16,0.0,0.6027131782945736,53.0
17,0.0,0.6821705426356589,52.0
18,0.0,0.7635658914728682,51.0
19,0.0,0.8246124031007752,50.0
20,0.0,0.8672480620155039,49.0
21,0.0,0.9166666666666666,48.0
22,0.0,0.939922480620155,47.0
23,0.0,0.9660852713178295,46.0
24,0.0,0.9854651162790697,44.0
25,0.0,0.9893410852713178,43.0
26,0.0,0.9922480620155039,42.0
27,0.0,0.997093023255814,41.0
28,0.0,1.0,40.0
29,0.0013565891472868217,1.0,6.0
30,0.0034883720930232558,1.0,5.0
31,0.007170542635658915,1.0,4.0
32,0.012790697674418604,1.0,3.0
33,0.020348837209302327,1.0,2.0
34,0.030813953488372094,1.0,1.0
35,0.047868217054263563,1.0,0.0
36,0.08313953488372093,1.0,-1.0
37,0.1248062015503876,1.0,-2.0
38,0.16550387596899224,1.0,-3.0
39,0.19825581395348837,1.0,-4.0
40,0.22616279069767442,1.0,-5.0
41,0.2501937984496124,1.0,-6.0
42,0.2775193798449612,1.0,-7.0
43,0.3077519379844961,1.0,-8.0
44,0.34806201550387594,1.0,-9.0
45,0.3939922480620155,1.0,-10.0
46,0.43372093023255814,1.0,-11.0
47,0.47635658914728685,1.0,-12.0
48,0.5251937984496124,1.0,-13.0
49,0.5746124031007752,1.0,-14.0
50,0.6228682170542635,1.0,-15.0
51,0.6600775193798449,1.0,-16.0
52,0.6943798449612403,1.0,-17.0
53,0.7344961240310077,1.0,-18.0
54,0.7790697674418605,1.0,-19.0
55,0.8333333333333334,1.0,-20.0
56,0.889922480620155,1.0,-21.0
57,0.9436046511627907,1.0,-22.0
58,0.9773255813953489,1.0,-23.0
59,0.9928294573643411,1.0,-24.0
60,0.998062015503876,1.0,-25.0
61,0.9996124031007751,1.0,-26.0
62,1.0,1.0,-27.0
63,0.0,0.0,inf
64,0.0,0.003875968992248062,68.0
65,0.0,0.006782945736434108,67.0
66,0.0,0.014534883720930232,66.0
67,0.0,0.02616279069767442,65.0
68,0.0,0.03391472868217054,64.0
69,0.0,0.04263565891472868,63.0
70,0.0,0.06782945736434108,62.0
71,0.0,0.08624031007751938,61.0
72,0.0,0.1182170542635659,60.0
73,0.0,0.1569767441860465,59.0
74,0.0,0.20155038759689922,58.0
75,0.0,0.23255813953488372,57.0
76,0.0,0.26453488372093026,56.0
77,0.0,0.3313953488372093,55.0
78,0.0,0.3691860465116279,54.0
79,0.0,0.42829457364341084,53.0
80,0.0,0.4903100775193798,52.0
81,0.0,0.5552325581395349,51.0
82,0.0,0.6104651162790697,50.0
83,0.0,0.6531007751937985,49.0
84,0.0,0.7122093023255814,48.0
85,0.0,0.7635658914728682,47.0
