,fpr,tpr,thresholds
0,0.0,0.0,inf
1,0.0,0.000749063670411985,34.0
2,0.0,0.0022471910112359553,32.0
3,0.0,0.0044943820224719105,31.0
4,0.0,0.012734082397003745,30.0
5,0.0,0.02397003745318352,29.0
6,0.0,0.04044943820224719,28.0
7,0.001433349259436216,0.05917602996254682,27.0
8,0.001433349259436216,0.08389513108614233,26.0
9,0.001433349259436216,0.1198501872659176,25.0
10,0.001433349259436216,0.15655430711610488,24.0
11,0.0023889154323936935,0.1940074906367041,23.0
12,0.0023889154323936935,0.24044943820224718,22.0
13,0.003822264691829909,0.29213483146067415,21.0
14,0.005255613951266125,0.34606741573033706,20.0
15,0.005733397037744864,0.399250936329588,19.0
16,0.006211180124223602,0.43670411985018726,18.0
17,0.006688963210702341,0.4771535580524345,17.0
18,0.00716674629718108,0.5101123595505618,16.0
19,0.009077878643096034,0.552059925093633,15.0
20,0.01098901098901099,0.6067415730337079,14.0
21,0.012422360248447204,0.6539325842696629,13.0
22,0.012900143334925944,0.699625468164794,12.0
23,0.01433349259436216,0.7370786516853932,11.0
24,0.014811275680840898,0.7812734082397004,10.0
25,0.015766841853798376,0.8187265917602996,9.0
26,0.016244624940277116,0.850936329588015,8.0
27,0.017200191113234592,0.8846441947565543,7.0
28,0.018155757286192068,0.9153558052434457,6.0
29,0.018155757286192068,0.9438202247191011,5.0
30,0.018633540372670808,0.9625468164794008,4.0
31,0.019111323459149548,0.9760299625468165,3.0
32,0.0210224558050645,0.9842696629213483,2.0
33,0.02150023889154324,0.9917602996254682,1.0
34,0.022933588150979456,0.9940074906367041,0.0
35,0.023889154323936932,0.9977528089887641,-1.0
36,0.024366937410415672,0.9977528089887641,-2.0
37,0.026755852842809364,0.9992509363295881,-3.0
38,0.02818920210224558,0.9992509363295881,-4.0
39,0.02818920210224558,1.0,-5.0
40,0.029622551361681796,1.0,-6.0
41,0.03153368370759675,1.0,-8.0
42,0.03296703296703297,1.0,-9.0
43,0.03487816531294792,1.0,-10.0
44,0.03678929765886288,1.0,-12.0
45,0.037267080745341616,1.0,-13.0
46,0.03870043000477783,1.0,-14.0
47,0.03965599617773531,1.0,-15.0
48,0.042522694696607743,1.0,-17.0
49,0.04300047778308648,1.0,-18.0
50,0.04395604395604396,1.0,-19.0
51,0.045389393215480175,1.0,-20.0
52,0.04634495938843765,1.0,-22.0
53,0.04730052556139513,1.0,-23.0
54,0.047778308647873864,1.0,-25.0
55,0.04921165790731008,1.0,-26.0
56,0.05112279025322503,1.0,-27.0
57,0.05255613951266125,1.0,-28.0
58,0.05446727185857621,1.0,-30.0
59,0.05733397037744864,1.0,-31.0
60,0.057811753463927376,1.0,-32.0
61,0.058767319636884856,1.0,-33.0
62,0.06067845198279981,1.0,-34.0
63,0.06163401815575729,1.0,-35.0
64,0.0630673674151935,1.0,-39.0
65,0.06402293358815098,1.0,-40.0
66,0.06450071667462971,1.0,-42.0
67,0.06736741519350214,1.0,-45.0
68,0.0678451982799809,1.0,-46.0
69,0.06880076445293837,1.0,-48.0
70,0.07071189679885333,1.0,-50.0
71,0.07262302914476827,1.0,-53.0
72,0.0754897276636407,1.0,-55.0
73,0.07740086000955566,1.0,-56.0
74,0.07883420926899187,1.0,-57.0
75,0.08265647396082179,1.0,-62.0
76,0.08456760630673674,1.0,-64.0
77,0.08552317247969422,1.0,-67.0
78,0.0864787386526517,1.0,-69.0
79,0.08886765408504539,1.0,-80.0
80,0.09077878643096035,1.0,-82.0
81,0.09221213569039656,1.0,-83.0
82,0.09412326803631152,1.0,-84.0
83,0.09555661729574773,1.0,-85.0
84,0.10320114667940755,1.0,-87.0
85,0.10606784519827998,1.0,-88.0
86,0.10989010989010989,1.0,-89.0
87,0.11419015766841854,1.0,-90.0
88,0.12087912087912088,1.0,-91.0
89,0.12995699952221693,1.0,-92.0
90,0.15193502150023888,1.0,-93.0
91,0.17104634495938845,1.0,-94.0
92,0.18681318681318682,1.0,-95.0
93,0.21213569039655997,1.0,-96.0
94,0.2408026755852843,1.0,-97.0
95,0.27472527472527475,1.0,-98.0
96,0.3067367415193502,1.0,-99.0
97,0.3449593884376493,1.0,-100.0
98,0.38461538461538464,1.0,-101.0
99,0.42331581462016243,1.0,-102.0
100,0.46058289536550406,1.0,-103.0
101,0.5021500238891543,1.0,-104.0
102,0.5274725274725275,1.0,-105.0
103,0.5561395126612518,1.0,-106.0
104,0.5967510750119446,1.0,-107.0
105,0.6249402771141902,1.0,-108.0
106,0.652651696129957,1.0,-109.0
107,0.6798853320592451,1.0,-110.0
108,0.7013855709507884,1.0,-111.0
109,0.7200191113234592,1.0,-112.0
110,0.7467749641662685,1.0,-113.0
111,0.774964166268514,1.0,-114.0
112,0.7912087912087912,1.0,-115.0
113,0.8107978977544195,1.0,-116.0
114,0.829909221213569,1.0,-117.0
115,0.84472049689441,1.0,-118.0
116,0.8600095556617295,1.0,-119.0
117,0.8681318681318682,1.0,-120.0
118,0.8810320114667941,1.0,-121.0
119,0.8910654562828476,1.0,-122.0
120,0.9073100812231247,1.0,-123.0
121,0.9135212613473483,1.0,-124.0
122,0.9235547061634019,1.0,-125.0
123,0.9302436693741042,1.0,-126.0
124,0.9388437649307214,1.0,-127.0
125,1.0,1.0,-128.0
126,0.0,0.0,inf
127,0.0,0.000749063670411985,34.0
128,0.0,0.0022471910112359553,32.0
129,0.0,0.0044943820224719105,31.0
130,0.0,0.012734082397003745,30.0
131,0.0,0.02397003745318352,29.0
132,0.0,0.04044943820224719,28.0
133,0.001433349259436216,0.05917602996254682,27.0
134,0.001433349259436216,0.08389513108614233,26.0
135,0.001433349259436216,0.1198501872659176,25.0
136,0.001433349259436216,0.15655430711610488,24.0
137,0.0023889154323936935,0.1940074906367041,23.0
138,0.0023889154323936935,0.24044943820224718,22.0
139,0.003822264691829909,0.29213483146067415,21.0
140,0.005255613951266125,0.34606741573033706,20.0
141,0.005733397037744864,0.399250936329588,19.0
142,0.006211180124223602,0.43670411985018726,18.0
143,0.006688963210702341,0.4771535580524345,17.0
144,0.00716674629718108,0.5101123595505618,16.0
145,0.009077878643096034,0.552059925093633,15.0
146,0.01098901098901099,0.6067415730337079,14.0
147,0.012422360248447204,0.6539325842696629,13.0
148,0.012900143334925944,0.699625468164794,12.0
