,fpr,tpr,thresholds
0,0.0,0.0,inf
1,0.0,0.000964785335262904,113.0
2,0.0,0.00241196333815726,112.0
3,0.0,0.006271104679208876,111.0
4,0.0,0.011577424023154847,110.0
5,0.0,0.015918958031837915,109.0
6,0.0,0.024602026049204053,108.0
7,0.0,0.03907380607814761,107.0
8,0.0,0.05499276410998553,106.0
9,0.0,0.06898215147129763,105.0
10,0.0,0.08634828750602991,104.0
11,0.0,0.10516160154365653,103.0
12,0.0,0.12542209358417752,102.0
13,0.0,0.1538832609744332,101.0
14,0.0,0.18765074770863482,100.0
15,0.0,0.2151471297636276,99.0
16,0.0,0.2522913651712494,98.0
17,0.0,0.2802701398938736,97.0
18,0.0,0.30631934394597204,96.0
19,0.0,0.3309213699951761,95.0
20,0.0,0.3656536420646406,94.0
21,0.0,0.402315484804631,93.0
22,0.0,0.4283646888567294,92.0
23,0.0,0.4553786782440907,91.0
24,0.0,0.5190545103714423,89.0
25,0.0,0.543174143753015,88.0
26,0.0,0.5643994211287988,87.0
27,0.0,0.5904486251808972,86.0
28,0.0,0.6126386878919441,85.0
29,0.0,0.6295224312590448,84.0
30,0.0,0.6497829232995659,83.0
31,0.0,0.6666666666666666,82.0
32,0.0,0.6927158707187651,81.0
33,0.0,0.7173178967679691,80.0
34,0.0,0.748191027496382,79.0
35,0.0,0.7674867342016402,78.0
36,0.0,0.7838880849011095,77.0
37,0.0,0.7954655089242644,76.0
38,0.0,0.808972503617945,75.0
39,0.0,0.8195851423058369,74.0
40,0.0,0.829232995658466,73.0
41,0.0,0.839845634346358,72.0
42,0.0,0.849493487698987,71.0
43,0.0,0.8567293777134588,70.0
44,0.0,0.8601061263868789,69.0
45,0.0,0.8673420164013507,68.0
46,0.0,0.869753979739508,67.0
47,0.0,0.8736131210805596,66.0
48,0.0,0.8803666184273999,65.0
49,0.0,0.8876025084418717,64.0
50,0.0,0.8953207911239749,63.0
51,0.0,0.9078630004823927,62.0
52,0.0,0.9170284611673902,61.0
53,0.0,0.9271587071876507,60.0
54,0.0,0.9363241678726484,59.0
55,0.0,0.9479015918958031,58.0
56,0.0,0.9585142305836951,57.0
57,0.0,0.9667149059334298,56.0
58,0.0,0.9720212252773758,55.0
59,0.0,0.9763627592860589,54.0
60,0.0,0.9816690786300049,53.0
61,0.0,0.9835986493005306,52.0
62,0.0,0.9889049686444766,51.0
63,0.0,0.9927641099855282,50.0
64,0.0,0.9951760733236855,49.0
65,0.0,0.9971056439942113,48.0
66,0.0,0.9980704293294742,46.0
67,0.0,0.9990352146647371,45.0
68,0.0,1.0,41.0
69,0.0002828054298642534,1.0,11.0
70,0.0004242081447963801,1.0,9.0
71,0.001414027149321267,1.0,8.0
72,0.0016968325791855204,1.0,6.0
73,0.003252262443438914,1.0,5.0
74,0.006080316742081448,1.0,3.0
75,0.011453619909502262,1.0,1.0
76,0.01626131221719457,1.0,0.0
77,0.020786199095022623,1.0,-1.0
78,0.026442307692307692,1.0,-2.0
79,0.03506787330316742,1.0,-3.0
80,0.042986425339366516,1.0,-4.0
81,0.054581447963800905,1.0,-5.0
82,0.0673076923076923,1.0,-6.0
83,0.08031674208144797,1.0,-7.0
84,0.09615384615384616,1.0,-8.0
85,0.11411199095022624,1.0,-9.0
86,0.13532239819004524,1.0,-10.0
87,0.1705316742081448,1.0,-11.0
88,0.21860859728506787,1.0,-12.0
89,0.2754524886877828,1.0,-13.0
90,0.3283371040723982,1.0,-14.0
91,0.39720022624434387,1.0,-15.0
92,0.4950509049773756,1.0,-16.0
93,0.5821549773755657,1.0,-17.0
94,0.6364536199095022,1.0,-18.0
95,0.6727941176470589,1.0,-19.0
96,0.7072963800904978,1.0,-20.0
97,0.741091628959276,1.0,-21.0
98,0.7963800904977375,1.0,-22.0
99,0.8552036199095022,1.0,-23.0
100,0.9086538461538461,1.0,-24.0
101,0.9512160633484162,1.0,-25.0
102,0.9773755656108597,1.0,-26.0
103,0.9923642533936652,1.0,-27.0
104,0.9985859728506787,1.0,-28.0
105,0.9998585972850679,1.0,-29.0
106,1.0,1.0,-30.0
107,0.0,0.0,inf
108,0.0,0.0004098360655737705,105.0
109,0.0,0.001639344262295082,102.0
110,0.0,0.002459016393442623,101.0
111,0.0,0.0036885245901639345,100.0
112,0.0,0.005327868852459016,99.0
113,0.0,0.007377049180327869,98.0
114,0.0,0.010655737704918032,97.0
115,0.0,0.01762295081967213,96.0
116,0.0,0.02336065573770492,95.0
117,0.0,0.030327868852459017,94.0
118,0.0,0.04221311475409836,93.0
119,0.0,0.05737704918032787,92.0
120,0.0,0.0709016393442623,91.0
121,0.0,0.08934426229508197,90.0
122,0.0,0.10819672131147541,89.0
123,0.0,0.13278688524590163,88.0
124,0.0,0.1627049180327869,87.0
125,0.0,0.19959016393442622,86.0
126,0.0,0.23770491803278687,85.0
127,0.0,0.2774590163934426,84.0
128,0.0,0.32295081967213113,83.0
129,0.0,0.37008196721311476,82.0
130,0.0,0.4180327868852459,81.0
131,0.0,0.4672131147540984,80.0
132,0.0,0.5168032786885246,79.0
133,0.0,0.5610655737704918,78.0
134,0.0,0.5975409836065574,77.0
135,0.0,0.6319672131147541,76.0
136,0.0,0.6622950819672131,75.0
137,0.0,0.6934426229508197,74.0
138,0.0,0.7180327868852459,73.0
139,0.0,0.7524590163934426,72.0
140,0.0,0.7819672131147541,71.0
141,0.0,0.830327868852459,69.0
142,0.0,0.8520491803278688,68.0
143,0.0,0.8700819672131147,67.0
144,0.0,0.894672131147541,66.0
145,0.0,0.9114754098360656,65.0
146,0.0,0.9258196721311476,64.0
147,0.0,0.9389344262295082,63.0
148,0.0,0.9524590163934427,62.0
149,0.0,0.9721311475409836,60.0
150,0.0,0.978688524590164,59.0
151,0.0,0.9848360655737705,58.0
152,0.0,0.9938524590163934,56.0
153,0.0,0.9975409836065574,55.0
